Fever,Respiratory rate,SpO2,CRP,Possibility
8.75,8,4.64285714285714,9.85714285714286,Severe
8.75,8.66666666666667,7.5,6.78571428571429,Severe
10,7.33333333333333,6.78571428571429,8.28571428571429,Severe
7.5,8,8.92857142857143,6.5,Severe
10,9.33333333333333,8.57142857142857,6.64285714285714,Severe
7.5,8.66666666666667,4.64285714285714,7.07142857142857,Severe
7.5,8,7.5,7.71428571428571,Severe
7.5,8,8.57142857142857,9.35714285714286,Severe
8.75,9.33333333333333,6.42857142857143,7.92857142857143,Severe
8.75,6.66666666666667,5.35714285714286,9.14285714285714,Severe
8.75,6,7.5,9.85714285714286,Severe
8.75,6.66666666666667,10,8.42857142857143,Severe
8.75,8,8.92857142857143,7.92857142857143,Severe
8.75,7.33333333333333,8.92857142857143,8.14285714285714,Severe
8.75,8.66666666666667,9.28571428571429,9.85714285714286,Severe
7.5,8.66666666666667,9.64285714285714,7.78571428571429,Severe
7.5,8.66666666666667,10,7.71428571428571,Severe
6.25,10,8.57142857142857,7.92857142857143,Severe
7.5,8.66666666666667,9.64285714285714,9.28571428571429,Severe
8.75,8.66666666666667,7.85714285714286,9.57142857142857,Severe
6.25,7.33333333333333,8.92857142857143,7.78571428571429,Severe
10,8,6.42857142857143,8.57142857142857,Severe
6.25,10,9.64285714285714,8.78571428571429,Severe
8.75,8.66666666666667,7.14285714285714,6.57142857142857,Severe
7.5,8,5.35714285714286,10,Severe
6.25,6.66666666666667,7.85714285714286,6.57142857142857,Severe
8.75,7.33333333333333,10,7.64285714285714,Severe
7.5,8.66666666666667,10,8.21428571428571,Severe
7.5,6.66666666666667,7.85714285714286,9.92857142857143,Severe
7.5,10,6.07142857142857,7.14285714285714,Severe
8.75,7.33333333333333,4.64285714285714,8.78571428571429,Severe
7.5,10,4.64285714285714,7.71428571428571,Severe
10,7.33333333333333,6.07142857142857,7,Severe
8.75,6.66666666666667,8.57142857142857,6.42857142857143,Severe
8.75,7.33333333333333,7.85714285714286,6.71428571428571,Severe
6.25,6,5,8.85714285714286,Severe
7.5,9.33333333333333,6.07142857142857,6.92857142857143,Severe
6.25,6.66666666666667,5.71428571428571,8.35714285714286,Severe
7.5,8,8.57142857142857,8.42857142857143,Severe
6.25,8.66666666666667,8.92857142857143,7.07142857142857,Severe
10,8,7.14285714285714,10,Severe
7.5,10,6.07142857142857,8.57142857142857,Severe
7.5,6.66666666666667,4.64285714285714,9.42857142857143,Severe
